iter	Logloss
0	0.6249734802
1	0.5638972717
2	0.5369809875
3	0.5172812073
4	0.5016971497
5	0.4889421509
6	0.4783766174
7	0.4707737976
8	0.4642830505
9	0.4590480835
10	0.4553196655
11	0.4511536804
12	0.4481024109
13	0.4461217773
14	0.4440891785
15	0.4424663086
16	0.4392045715
17	0.4383641846
18	0.4365518066
19	0.4356670776
20	0.4350454651
21	0.4344139648
22	0.4311576111
23	0.4306706055
24	0.430296875
25	0.4298951538
26	0.4295212585
27	0.4291807129
28	0.4286062561
29	0.4284085693
30	0.4266305359
31	0.4263116577
32	0.426018103
33	0.4256177002
34	0.4252584412
35	0.4250952759
36	0.4249273132
37	0.4247742493
38	0.4246014648
39	0.4240680847
40	0.4239115845
41	0.4236433899
42	0.42349505
43	0.4233345886
44	0.4232111755
45	0.4230597107
46	0.422899353
47	0.4227734863
48	0.4224994629
49	0.4222698608
50	0.4221319824
51	0.4220135803
52	0.4218618225
53	0.4216920471
54	0.4215810791
55	0.4214629822
56	0.4209305054
57	0.4207663879
58	0.4206388916
59	0.42050802
60	0.4203623474
61	0.4202212158
62	0.4200931335
63	0.4199483765
64	0.4197948242
65	0.4191892883
66	0.4190821045
67	0.4189752441
68	0.4188879639
69	0.4187442566
70	0.4186594116
71	0.4185656006
72	0.418516217
73	0.4183546387
74	0.4182631897
75	0.4181640015
76	0.4180223511
77	0.4179132202
78	0.4177963074
79	0.4176739685
80	0.4175755615
81	0.4175100586
82	0.4173959534
83	0.4172932617
84	0.4171608337
85	0.4170843323
86	0.4170559814
87	0.4169479919
88	0.4168604858
89	0.416800415
90	0.4167010254
91	0.416625238
92	0.4165548828
93	0.4164846375
94	0.4163912598
95	0.4162654358
96	0.4162022156
97	0.4161193481
98	0.4160022583
99	0.4159262573
100	0.4158090942
101	0.4157054382
102	0.4156250977
103	0.4155173523
104	0.4154035583
105	0.4153176208
106	0.4152425415
107	0.415107489
108	0.4150175842
109	0.4149471008
110	0.4148062073
111	0.4146802063
112	0.4145643555
113	0.4144639771
114	0.4143453003
115	0.4142598511
116	0.4141255127
117	0.4139811279
118	0.4138941956
119	0.4137987671
120	0.4136973083
121	0.413598175
122	0.4135074646
123	0.4131269897
124	0.4130087769
125	0.4128866699
126	0.4126195007
127	0.4125460388
128	0.4124440979
129	0.4123329102
130	0.4121884094
131	0.4120738464
132	0.4118593445
133	0.411673407
134	0.4115405884
135	0.4114443359
136	0.4112413483
137	0.411150058
138	0.4110202942
139	0.410932547
140	0.4108945923
141	0.4108591766
142	0.4107865326
143	0.4106753387
144	0.4105408539
145	0.4104165802
146	0.4102966827
147	0.4101787354
148	0.4100621918
149	0.4100160828
150	0.4098575378
151	0.4096967651
152	0.4095811157
153	0.4094453735
154	0.4093592194
155	0.4092668518
156	0.4091728058
157	0.4090451965
158	0.408949054
159	0.4088604828
160	0.4087694397
161	0.4086232666
162	0.4084882507
163	0.4083580414
164	0.4082605377
165	0.4081502228
166	0.4080464233
167	0.4079215912
168	0.4077887482
169	0.4077301697
170	0.4076461548
171	0.4075526062
172	0.4074767731
173	0.4073835602
174	0.4073060059
175	0.4072167999
176	0.4071414307
177	0.4070507111
178	0.4069421661
179	0.4068245941
180	0.4067098694
181	0.4066226807
182	0.4064961334
183	0.4064369354
184	0.4063227936
185	0.4062320496
186	0.406138974
187	0.406039978
188	0.405950647
189	0.4058799347
190	0.4057595154
191	0.4056695435
192	0.405575589
193	0.4055239563
194	0.4054117889
195	0.4053575439
196	0.4052406616
197	0.4050991089
198	0.40502034
199	0.4048960999
